ID,decimalLongitude,decimalLatitude,S.AllGrp,landsdele,Geology,NatDensBasMp,Dis2Cost,HII,Slope30mAgg,PrecSea
1,10.0571607,57.59032701,302,Nordjylland,Marine sand and clay,0.945,451.736,21.19,2.78,24
3,10.08032401,57.58100162,227,Nordjylland,Aeolian sand,0.8294,1083.38,24.67,2.635,24.08
4,10.21615467,56.93746577,296,Nordjylland,Marine sand and clay,0.6635,3449.114,19.21,1.704,21
5,10.22988076,56.93212855,337,Nordjylland,Beach ridges,0.9819,2400.77,21.06,2.095,20.93
6,10.2409176,57.59655267,195,Nordjylland,Aeolian sand,0.9593,1252.404,26.72,2.329,25
7,10.24668713,55.12991275,366,Syddanmark,Glaciofluvial,0.6071,3836.507,31.91,5.932,19.27
8,10.24765754,55.12292641,345,Syddanmark,Glaciofluvial,0.8153,2926.042,43.86,4.975,19.27
9,10.2534055,55.13338649,301,Syddanmark,Glaciofluvial,0.6071,3836.507,31.91,4.538,19.27
10,10.31710074,55.12083699,207,Syddanmark,Sandy and gravelly Till,0.7509,5027.84,34.04,4.43,17.46
11,10.3637338,57.62822782,220,Nordjylland,Aeolian sand,0.9108,2155.096,8,1.083,24
12,10.36883286,55.13503083,237,Syddanmark,Freshwater deposits,0.4612,7538.698,35,2.253,18
13,10.36894119,55.12918934,303,Syddanmark,Freshwater deposits,0.4612,7538.698,35,2.425,18
14,10.40397373,57.64472818,145,Nordjylland,Aeolian sand,0.9994,1931.72,21,3.8,24
15,10.40702263,57.64315915,238,Nordjylland,Aeolian sand,0.9994,2665.135,21,1.585,24
16,10.45161848,55.15152867,257,Syddanmark,Freshwater deposits,0.4187,10814.254,30,1.972,18
17,10.47165215,56.28731419,257,Midtjylland,Clayey Till,0.8125,816.155,40.07,4.868,19
18,10.48020474,56.29155915,159,Midtjylland,Clayey Till,0.3324,968.72,42.14,2.967,19
19,10.49976739,55.10115457,286,Syddanmark,Clayey Till,0.3809,7215.316,33.02,4.341,18
20,10.51406821,56.09713964,409,Midtjylland,Marine sand and clay,0.4505,2247.691,28,2.887,19
21,10.52333815,56.20709099,418,Midtjylland,Glaciofluvial,0.936,2247.691,27.07,6.769,19.4
22,10.52945138,56.10006712,264,Midtjylland,Glaciofluvial,0.9106,276.077,23.77,9.024,18.57
23,10.53128681,56.19642823,292,Midtjylland,Glaciofluvial,0.7335,1250.453,25.5,6.763,18.42
24,10.56263271,56.2243184,196,Midtjylland,Freshwater deposits,0.9363,1552.437,25.37,5.652,17.35
25,10.58723175,56.22247706,292,Midtjylland,Beach ridges,0.6051,200.832,30,2.917,18
26,10.84880409,56.29851275,419,Midtjylland,Marine sand and clay,0.7248,146.571,30,2.152,18.88
27,10.8935071,55.73474604,421,Sjælland,Glaciofluvial,0.9565,275.422,15.31,7.278,19
28,10.89727399,55.74078685,225,Sjælland,Clayey Till,0.9361,275.422,15.4,5.028,19
29,11.20166968,55.7052192,257,Sjælland,Marine sand and clay,0.9235,3347.269,18,0.281,19.45
30,11.23581744,55.70366333,280,Sjælland,Marine sand and clay,0.6188,3189.304,18,1.259,20
31,11.27517684,55.7274892,233,Sjælland,Aeolian sand,0.8954,427.737,18,1.297,20.82
32,11.28307135,55.7360165,420,Sjælland,Aeolian sand,0.9794,392.242,26,1.686,21
33,11.42324653,55.83647445,223,Sjælland,Downwash sandy deposits,0.6132,361.928,26,2.884,22
34,11.43619382,55.82656523,417,Sjælland,Glaciofluvial,0.3166,1718.895,16,3.998,19.33
35,11.48720906,54.75457898,157,Sjælland,Clayey Till,0.2002,8425.885,43.34,1.95,19.8
36,11.5345545,55.31595569,150,Sjælland,Clayey Till,0.0358,11568.127,26,1.831,20
37,11.53621444,55.38019601,206,Sjælland,Clayey Till,0.4292,19219.439,22,2.65,18
39,11.54670581,55.37740238,369,Sjælland,Clayey Till,0.2719,18510.072,15.94,3.466,18.02
40,11.55167321,54.75036513,324,Sjælland,Clayey Till,0.9573,7536.02,28.37,3.111,19.98
41,11.55493636,54.75928616,344,Sjælland,Lake,0.219,6683.654,47,1.084,19
42,11.55686098,55.37993511,255,Sjælland,Clayey Till,0.5164,19767.398,15.82,4.45,19
43,11.59249883,55.39912891,341,Sjælland,Clayey Till,0.5793,22338.408,42.4,3.391,19.8
44,11.59410449,55.38369919,293,Sjælland,Clayey Till,0.9317,20483.639,22,2.865,20
47,11.775974,55.51610493,294,Sjælland,Clayey Till,0.7824,15841.326,22,3.871,21
48,11.80509545,54.78049188,268,Sjælland,Clayey Till,0.9416,1481.891,42,2.791,18.08
49,11.81138976,54.78619045,384,Sjælland,Clayey Till,0.9416,599.688,41.08,3.278,18.09
50,11.88381385,55.55263075,494,Sjælland,Freshwater deposits,0.9548,11211.459,18,5.657,19.54
51,11.88474626,55.56576665,367,Sjælland,Freshwater deposits,0.9221,9282.022,22.09,4.545,19
52,11.99150258,56.01851757,304,Hovedstaden,Aeolian sand,0.9498,623.574,35,1.122,22
53,11.99315223,56.02263786,245,Hovedstaden,Beach ridges,0.9498,1664.33,22,1.122,22
54,12.07340871,56.04420107,276,Hovedstaden,Aeolian sand,0.937,1664.33,22,3.853,22.04
55,12.10033259,56.02259609,385,Hovedstaden,Freshwater deposits,0.8516,4492.522,30,2.137,22.93
56,12.25085013,55.98726198,310,Hovedstaden,Glaciofluvial,0.6047,13220.553,30,2.684,23
58,12.27018454,55.0399262,302,Sjælland,Beach ridges,0.9072,758.825,10.35,1.529,19
59,12.27163111,55.96826784,378,Hovedstaden,Freshwater deposits,0.9018,15200.344,37.6,3.491,23.29
60,12.27208166,55.95692068,278,Hovedstaden,Glaciofluvial,0.899,14868.719,40.68,3.709,23.74
61,12.29278869,55.98460376,156,Hovedstaden,Glaciofluvial,0.931,14320.906,29,3.623,23.5
62,12.29951997,55.02428234,169,Sjælland,Clayey Till,0.2074,873.354,15.44,1.856,20
63,12.31617427,55.99989788,257,Hovedstaden,Freshwater deposits,0.9572,11738.438,26,2.872,21.86
64,12.45141793,54.96752392,228,Sjælland,Freshwater deposits,0.6196,870.278,20.36,1.732,20
65,12.45526794,54.9606333,236,Sjælland,Freshwater deposits,0.6196,870.278,20.36,1.968,20
66,12.50972317,54.96462732,474,Sjælland,Chalk,0.8808,2238.438,20.87,7.051,20
67,12.52658146,54.98604161,431,Sjælland,Glaciofluvial,0.7041,918.747,14,7.761,19.6
68,12.5389131,54.97290273,237,Sjælland,Chalk,0.9695,303.628,14,6.025,18
69,12.53898781,54.96620118,272,Sjælland,Chalk,0.8288,496.262,14,7.354,18.86
70,12.53900706,54.98049301,320,Sjælland,Chalk,0.9647,19.253,17,6.874,18
71,8.080258493,55.56292804,266,Syddanmark,Aeolian sand,0.974,346.919,17,2.093,30
72,8.128703025,56.31348114,196,Midtjylland,Aeolian sand,0.9555,479.546,23.98,1.124,31
73,8.136246233,56.22776563,184,Midtjylland,Marine sand and clay,0.8233,22.817,17.5,1.45,31
74,8.162359036,56.31803006,347,Midtjylland,Marsh,0.2058,1047.255,34,0.992,31
75,8.169670368,55.68438777,180,Syddanmark,Aeolian sand,0.926,1394.052,22,1.934,30
77,8.182877548,55.77354752,244,Syddanmark,Marine sand and clay,0.9961,587.997,18,2.867,30.16
78,8.19077075,55.69423108,289,Syddanmark,Aeolian sand,0.9083,2056.627,23.11,1.383,30
79,8.195221696,56.29494446,121,Midtjylland,Glaciofluvial,0.3252,2523.196,34,1.183,31
80,8.21282134,55.79507754,173,Syddanmark,Aeolian sand,0.8603,2577.43,34.8,2.087,30
81,8.216409166,55.6726212,276,Syddanmark,Aeolian sand,0.5966,4832.717,24.15,1.556,30
82,8.241796699,55.67383734,356,Syddanmark,Freshwater deposits,0.3419,5505.385,30,2.03,30
83,8.372399908,56.17065017,397,Midtjylland,Glaciofluvial,0.9328,12327.822,28.75,2.499,30
84,8.378025751,56.16754556,271,Midtjylland,Freshwater deposits,0.9328,11544.149,18.83,1.245,30
85,8.388856329,56.16729257,419,Midtjylland,Freshwater deposits,0.9837,12202.018,18,1.965,30
86,8.493946977,56.2452577,183,Midtjylland,Glaciofluvial,0.9528,13908.395,18.54,2.911,28.99
87,8.507933548,56.24883485,235,Midtjylland,Glaciofluvial,0.9124,14724.97,21,3.859,28.98
88,8.560815489,57.03741516,252,Nordjylland,Aeolian sand,0.9781,2762.743,22,1.887,28
89,8.642470696,57.06436271,195,Nordjylland,Aeolian sand,0.9698,5101.078,20.18,2.526,27
92,8.874824156,57.044871,261,Nordjylland,Aeolian sand,0.9549,5279.022,22,2.145,26
93,8.897732161,55.1432163,348,Syddanmark,Glaciofluvial,0.5267,13846.654,23.74,1.872,25.42
94,8.91187667,57.04493901,272,Nordjylland,Aeolian sand,0.8944,4416.361,22,2.536,26
95,8.916948894,57.05073517,229,Nordjylland,Aeolian sand,0.9423,5349.823,26.64,2.536,25.77
96,8.929984696,57.05433542,360,Nordjylland,Aeolian sand,0.7506,5004.952,23.21,1.928,26
97,8.935220188,55.17319834,247,Syddanmark,Aeolian sand,0.9427,15763.698,14,2.11,25.51
98,8.949862276,55.18478471,211,Syddanmark,Glaciofluvial,0.9309,16857.217,20.9,1.995,25
99,8.950998317,55.20709468,309,Syddanmark,Glaciofluvial,0.9482,17434.049,26,2.332,25
100,8.951189918,57.14458777,238,Nordjylland,Beach ridges,0.9701,352,18,1.027,25.23
101,8.959030055,55.01130816,326,Syddanmark,Clayey Till,0.831,12149.549,26,2.105,25
102,8.974026422,55.01528364,351,Syddanmark,Aeolian sand,0.9311,12238.455,26,2.121,25
103,8.984554332,55.01777035,273,Syddanmark,Freshwater deposits,0.6415,13387.271,26,2.007,25
104,9.05938754,55.29300077,246,Syddanmark,Clayey Till,0.3863,24663.057,40,2.275,24
105,9.067590023,55.2925393,347,Syddanmark,Glaciofluvial,0.3863,25642.822,40,2.653,24
106,9.358896311,56.10335589,184,Midtjylland,Downwash sandy deposits,0.9757,41485.539,29.51,2.28,22
107,9.39829759,56.09298382,129,Midtjylland,Downwash sandy deposits,0.8909,39327.008,35.3,2.372,22
108,9.415083839,56.08843609,149,Midtjylland,Aeolian sand,0.777,37914.648,33.78,3.253,22
109,9.496242918,56.12617658,366,Midtjylland,Freshwater deposits,0.8373,37592.891,21.42,8.24,21
110,9.527718814,56.13413354,298,Midtjylland,Glaciofluvial,0.9182,37278.453,43,6.301,20.41
111,9.545471604,55.66713549,285,Syddanmark,Glaciofluvial,0.4314,3077.18,43,2.02,21
112,9.62042271,56.16725102,199,Midtjylland,Downwash sandy deposits,0.6957,37137.574,38.31,4.356,21
113,9.63843338,56.07849827,300,Midtjylland,Glaciofluvial,0.8519,28167.729,18,7.038,21.02
114,9.689242409,55.61045139,179,Syddanmark,Glaciofluvial,0.3853,4626.012,40.14,2.741,20.93
115,9.693193422,55.60660146,163,Syddanmark,Glaciofluvial,0.5772,3755.47,39.4,2.025,20.16
116,9.704436043,56.05325311,237,Midtjylland,Freshwater deposits,0.7857,23615.672,18,2.353,20.4
118,9.731842491,56.0637403,371,Midtjylland,Freshwater deposits,0.8696,24445.932,28,3.1,21
119,9.752402726,55.69123564,311,Midtjylland,Clayey Till,0.2338,617.742,26,4.606,21
120,9.800305811,56.82378091,374,Nordjylland,Glaciofluvial,0.5014,18396.869,26,6.727,21.77
121,9.820183908,56.83296931,297,Nordjylland,Freshwater deposits,0.7554,18582.02,21.51,6.461,21.74
122,9.835868413,56.81534525,281,Nordjylland,Glaciofluvial,0.9548,17481.846,18.85,4.826,20.8
124,9.850999917,56.8138236,213,Nordjylland,Glaciofluvial,0.8782,16858.383,22.29,3.699,20.03
125,9.857507134,55.68390165,270,Midtjylland,Clayey Till,0.7306,158.125,26,5.408,20
126,9.862110474,56.85378561,258,Nordjylland,Chalk,0.841,19694.697,26.3,7.845,20.76
127,9.869621187,55.68895496,293,Midtjylland,Clayey Till,0.9266,595.719,26,4.542,20
128,9.879929238,57.51774804,333,Nordjylland,Aeolian sand,0.9804,968.879,19.34,2.194,24.18
129,9.922239627,56.89066793,251,Nordjylland,Glaciofluvial,0.6392,17168.561,21.09,5.716,21
130,9.926169346,57.51694352,118,Nordjylland,Late-Glacial marine deposits,0.1842,2654.204,30,2.392,24.11