"","ID","decimalLongitude","decimalLatitude","S.AllGrp","landsdele","Geology","HII","PrecSea","logitNatDensBasMp","log10Dis2Cost","log10Slope30mAgg"
"1",1,10.0571607,57.59032701,302,"Nordjylland","Marine sand and clay",21.19,24,2.84385174226127,2.65488470198126,0.444044795918076
"2",3,10.08032401,57.58100162,227,"Nordjylland","Aeolian sand",24.67,24.08,1.5813809127547,3.03478081392627,0.420780619548565
"3",4,10.21615467,56.93746577,296,"Nordjylland","Marine sand and clay",19.21,21,0.67893070468748,3.53770754889123,0.231469590430681
"4",5,10.22988076,56.93212855,337,"Nordjylland","Beach ridges",21.06,20.93,3.99357753190346,3.38035055551082,0.321184027302314
"5",6,10.2409176,57.59655267,195,"Nordjylland","Aeolian sand",26.72,25,3.15997575937535,3.09774444602181,0.367169488534681
"6",7,10.24668713,55.12991275,366,"Syddanmark","Glaciofluvial",31.91,19.27,0.435138395571974,3.58393599494092,0.773201142356344
"7",8,10.24765754,55.12292641,345,"Syddanmark","Glaciofluvial",43.86,19.27,1.48482325646367,3.46628055563664,0.696793085081744
"8",9,10.2534055,55.13338649,301,"Syddanmark","Glaciofluvial",31.91,19.27,0.435138395571974,3.58393599494092,0.656864491548917
"9",10,10.31710074,55.12083699,207,"Syddanmark","Sandy and gravelly Till",34.04,17.46,1.1034180648377,3.70138144876278,0.64640372622307
"10",11,10.3637338,57.62822782,220,"Nordjylland","Aeolian sand",8,24,2.32344229460362,3.33346662082698,0.0346284566253203
"11",12,10.36883286,55.13503083,237,"Syddanmark","Freshwater deposits",35,18,-0.155512656141305,3.8772963458377,0.352761191723831
"12",13,10.36894119,55.12918934,303,"Syddanmark","Freshwater deposits",35,18,-0.155512656141305,3.8772963458377,0.384711742938282
"13",14,10.40397373,57.64472818,145,"Nordjylland","Aeolian sand",21,24,7.41798072267602,3.28594417628881,0.57978359661681
"14",15,10.40702263,57.64315915,238,"Nordjylland","Aeolian sand",21,24,7.41798072267602,3.42571921271348,0.20002926655377
"15",16,10.45161848,55.15152867,257,"Syddanmark","Freshwater deposits",30,18,-0.328112301682207,4.03399656585944,0.294906910605192
"16",17,10.47165215,56.28731419,257,"Midtjylland","Clayey Till",40.07,19,1.46633706879343,2.9117726455825,0.687350569558027
"17",18,10.48020474,56.29155915,159,"Midtjylland","Clayey Till",42.14,19,-0.697350128806387,2.98619826618668,0.472317546316842
"18",19,10.49976739,55.10115457,286,"Syddanmark","Clayey Till",33.02,18,-0.485729937040628,3.85825535608801,0.6375897858387
"19",20,10.51406821,56.09713964,409,"Midtjylland","Marine sand and clay",28,19,-0.198650696795283,3.35173660662175,0.46044678388072
"20",21,10.52333815,56.20709099,418,"Midtjylland","Glaciofluvial",27.07,19.4,2.68273239311792,3.35173660662175,0.830524514097258
"21",22,10.52945138,56.10006712,264,"Midtjylland","Glaciofluvial",23.77,18.57,2.32098304072121,2.44103022703349,0.955399086639267
"22",23,10.53128681,56.19642823,292,"Midtjylland","Glaciofluvial",25.5,18.42,1.01245335397714,3.09706737281642,0.830139387425343
"23",24,10.56263271,56.2243184,196,"Midtjylland","Freshwater deposits",25.37,17.35,2.68775137536673,3.19101398494684,0.752202153176521
"24",25,10.58723175,56.22247706,292,"Midtjylland","Beach ridges",30,18,0.426761165335672,2.30283291323481,0.464936429121733
"25",26,10.84880409,56.29851275,419,"Midtjylland","Marine sand and clay",30,18.88,0.968397648669581,2.16604805089278,0.332842266994352
"26",27,10.8935071,55.73474604,421,"Sjælland","Glaciofluvial",15.31,19,3.09051985078567,2.43999862763114,0.862012051250217
"27",28,10.89727399,55.74078685,225,"Sjælland","Clayey Till",15.4,19,2.68440294699421,2.43999862763114,0.70139526901392
"28",29,11.20166968,55.7052192,257,"Sjælland","Marine sand and clay",18,19.45,2.4908800588068,3.52469061541163,-0.55129368009492
"29",30,11.23581744,55.70366333,280,"Sjælland","Marine sand and clay",18,20,0.484457946918864,3.50369591755906,0.100025730107863
"30",31,11.27517684,55.7274892,233,"Sjælland","Aeolian sand",18,20.82,2.14712699417604,2.6311768191154,0.11293997608408
"31",32,11.28307135,55.7360165,420,"Sjælland","Aeolian sand",26,21,3.86164906347268,2.59355409466487,0.226857570288723
"32",33,11.42324653,55.83647445,223,"Sjælland","Downwash sandy deposits",26,22,0.46078338341852,2.55862218292887,0.459995256047391
"33",34,11.43619382,55.82656523,417,"Sjælland","Glaciofluvial",16,19.33,-0.76944119223428,3.23524934829069,0.601842789782098
"34",35,11.48720906,54.75457898,157,"Sjælland","Clayey Till",43.34,19.8,-1.3850448295316,3.92561552739868,0.290034611362518
"35",36,11.5345545,55.31595569,150,"Sjælland","Clayey Till",26,20,-3.29335084856487,4.06326304785298,0.262688344301696
"36",37,11.53621444,55.38019601,206,"Sjælland","Clayey Till",22,18,-0.285115874846138,4.28374070681015,0.423245873936808
"37",39,11.54670581,55.37740238,369,"Sjælland","Clayey Till",15.94,18.02,-0.98500404976224,4.26740810806365,0.539828558377898
"38",40,11.55167321,54.75036513,324,"Sjælland","Clayey Till",28.37,19.98,3.10991790171773,3.8771420423695,0.492900011108703
"39",41,11.55493636,54.75928616,344,"Sjælland","Lake",47,19,-1.27150342002319,3.82501395920757,0.0350292822023682
"40",42,11.55686098,55.37993511,255,"Sjælland","Clayey Till",15.82,19,0.0656235402318498,4.29594950651082,0.648360010980932
"41",43,11.59249883,55.39912891,341,"Sjælland","Clayey Till",42.4,19.8,0.319900487506103,4.3490522188489,0.530327789778086
"42",44,11.59410449,55.38369919,293,"Sjælland","Clayey Till",22,20,2.61310110787963,4.31140711330132,0.457124626303409
"43",47,11.775974,55.51610493,294,"Sjælland","Clayey Till",22,21,1.27970760373882,4.19979153144416,0.587823171318955
"44",48,11.80509545,54.78049188,268,"Sjælland","Clayey Till",42,18.08,2.78026466611189,3.1708162604318,0.445759836488631
"45",49,11.81138976,54.78619045,384,"Sjælland","Clayey Till",41.08,18.09,2.78026466611189,2.77792535851608,0.51560894923448
"46",50,11.88381385,55.55263075,494,"Sjælland","Freshwater deposits",18,19.54,3.05040480762649,4.04966213306048,0.752586178740409
"47",51,11.88474626,55.56576665,367,"Sjælland","Freshwater deposits",22.09,19,2.47122772466839,3.96764259343738,0.657533887557986
"48",52,11.99150258,56.01851757,304,"Hovedstaden","Aeolian sand",35,22,2.94023640941734,2.79488799892872,0.0499928569201426
"49",53,11.99315223,56.02263786,245,"Hovedstaden","Beach ridges",22,22,2.94023640941734,3.22123944152788,0.0499928569201426
"50",54,12.07340871,56.04420107,276,"Hovedstaden","Aeolian sand",22,22.04,2.69954855584689,3.22123944152788,0.585799009013001
"51",55,12.10033259,56.02259609,385,"Hovedstaden","Freshwater deposits",30,22.93,1.74720560228604,3.65249021253787,0.329804522164069
"52",56,12.25085013,55.98726198,310,"Hovedstaden","Glaciofluvial",30,23,0.425087496976527,4.12124962155095,0.428782511496955
"53",58,12.27018454,55.0399262,302,"Sjælland","Beach ridges",10.35,19,2.27991629318133,2.88014163057613,0.18440748541232
"54",59,12.27163111,55.96826784,378,"Hovedstaden","Freshwater deposits",37.6,23.29,2.21738655062656,4.18185341660341,0.542949848814179
"55",60,12.27208166,55.95692068,278,"Hovedstaden","Glaciofluvial",40.68,23.74,2.18616251763036,4.17227355391565,0.56925683332861
"56",61,12.29278869,55.98460376,156,"Hovedstaden","Glaciofluvial",29,23.5,2.60215277267981,4.15597049411388,0.559068334034537
"57",62,12.29951997,55.02428234,169,"Sjælland","Clayey Till",15.44,20,-1.34066938496091,2.94119031367615,0.268577971882843
"58",63,12.31617427,55.99989788,257,"Hovedstaden","Freshwater deposits",26,21.86,3.10747425344647,4.06961031044542,0.458184435570263
"59",64,12.45141793,54.96752392,228,"Sjælland","Freshwater deposits",20.36,20,0.487850777871479,2.9396580050099,0.238547887681328
"60",65,12.45526794,54.9606333,236,"Sjælland","Freshwater deposits",20.36,20,0.487850777871479,2.9396580050099,0.294025094095323
"61",66,12.50972317,54.96462732,474,"Sjælland","Chalk",20.87,20,2.00002783077722,3.34994506984711,0.848250714677042
"62",67,12.52658146,54.98604161,431,"Sjælland","Glaciofluvial",14,19.6,0.866898832118923,2.96319593398551,0.889917683436206
"63",68,12.5389131,54.97290273,237,"Sjælland","Chalk",14,18,3.45905379106934,2.48234181888609,0.779957051246906
"64",69,12.53898781,54.96620118,272,"Sjælland","Chalk",14,18.86,1.57714640779758,2.6957110214755,0.866523625532844
"65",70,12.53900706,54.98049301,320,"Sjælland","Chalk",17,18,3.30793420823726,1.28449841082805,0.837209527801206
"66",71,8.080258493,55.56292804,266,"Syddanmark","Aeolian sand",17,30,3.62331476562105,2.54022808585875,0.320769228338686
"67",72,8.128703025,56.31348114,196,"Midtjylland","Aeolian sand",23.98,31,3.06674557450813,2.68083027279547,0.0507663112330423
"68",73,8.136246233,56.22776563,184,"Midtjylland","Marine sand and clay",17.5,31,1.53886727497873,1.3582585424006,0.161368002234975
"69",74,8.162359036,56.31803006,347,"Midtjylland","Marsh",34,31,-1.3504304952972,3.02005244252786,-0.00348832784582135
"70",75,8.169670368,55.68438777,180,"Syddanmark","Aeolian sand",22,30,2.52680914144201,3.14427897382789,0.286456469746983
"71",77,8.182877548,55.77354752,244,"Syddanmark","Marine sand and clay",18,30.16,5.54287110101552,2.76937511028231,0.457427692946484
"72",78,8.19077075,55.69423108,289,"Syddanmark","Aeolian sand",23.11,30,2.29305234124575,3.31315553305074,0.140822180109311
"73",79,8.195221696,56.29494446,121,"Midtjylland","Glaciofluvial",34,31,-0.729975972998158,3.40195098750222,0.0729847446279304
"74",80,8.21282134,55.79507754,173,"Syddanmark","Aeolian sand",34.8,30,1.81778389936439,3.41118687918289,0.319522449065454
"75",81,8.216409166,55.6726212,276,"Syddanmark","Aeolian sand",24.15,30,0.391318246560537,3.68419136394978,0.19200959265367
"76",82,8.241796699,55.67383734,356,"Syddanmark","Freshwater deposits",30,30,-0.654838598816818,3.74078769524764,0.307496037913213
"77",83,8.372399908,56.17065017,397,"Midtjylland","Glaciofluvial",28.75,30,2.63051756806712,4.0908863550277,0.39776625612645
"78",84,8.378025751,56.16754556,271,"Midtjylland","Freshwater deposits",18.83,30,2.63051756806712,4.06236192354803,0.0951693514317552
"79",85,8.388856329,56.16729257,419,"Midtjylland","Freshwater deposits",18,30,4.100155864706,4.08643166131322,0.293362554711446
"80",86,8.493946977,56.2452577,183,"Midtjylland","Glaciofluvial",18.54,28.99,3.00501112544958,4.14327701619905,0.464042205438811
"81",87,8.507933548,56.24883485,235,"Midtjylland","Glaciofluvial",21,28.98,2.34329749246789,4.16805441864775,0.586474778571397
"82",88,8.560815489,57.03741516,252,"Nordjylland","Aeolian sand",22,28,3.79912527747399,3.4413404872064,0.275771900164931
"83",89,8.642470696,57.06436271,195,"Nordjylland","Aeolian sand",20.18,27,3.46924794029043,3.70766196432919,0.402433346219312
"84",92,8.874824156,57.044871,261,"Nordjylland","Aeolian sand",22,26,3.05272437644752,3.72255347190031,0.331427296520743
"85",93,8.897732161,55.1432163,348,"Syddanmark","Glaciofluvial",23.74,25.42,0.106901689577141,4.14134484019492,0.272305844402086
"86",94,8.91187667,57.04493901,272,"Nordjylland","Aeolian sand",22,26,2.13649473112867,3.64506456605721,0.404149249209695
"87",95,8.916948894,57.05073517,229,"Nordjylland","Aeolian sand",26.64,25.77,2.79306652169866,3.7283394135362,0.404149249209695
"88",96,8.929984696,57.05433542,360,"Nordjylland","Aeolian sand",23.21,26,1.10181485345498,3.6993999167334,0.285107029566812
"89",97,8.935220188,55.17319834,247,"Syddanmark","Aeolian sand",14,25.51,2.80044747468141,4.1976581060851,0.324282455297693
"90",98,8.949862276,55.18478471,211,"Syddanmark","Glaciofluvial",20.9,25,2.60059712934882,4.2267858774473,0.299942900022767
"91",99,8.950998317,55.20709468,309,"Syddanmark","Glaciofluvial",26,25,2.90717530120258,4.24139826227599,0.367728546086976
"92",100,8.951189918,57.14458777,238,"Nordjylland","Beach ridges",18,25.23,3.4795406785706,2.54654266347813,0.0115704435972782
"93",101,8.959030055,55.01130816,326,"Syddanmark","Clayey Till",26,25,1.59273107993237,4.08456015690992,0.323252100171687
"94",102,8.974026422,55.01528364,351,"Syddanmark","Aeolian sand",26,25,2.60371050487487,4.0877265953156,0.326540668516562
"95",103,8.984554332,55.01777035,273,"Syddanmark","Freshwater deposits",26,25,0.581880524016016,4.12669205494826,0.302547372487486
"96",104,9.05938754,55.29300077,246,"Syddanmark","Clayey Till",40,24,-0.462891939722816,4.39204690664524,0.356981400993131
"97",105,9.067590023,55.2925393,347,"Syddanmark","Glaciofluvial",40,24,-0.462891939722816,4.40896581771058,0.423737249982329
"98",106,9.358896311,56.10335589,184,"Midtjylland","Downwash sandy deposits",29.51,22,3.6926788117674,4.61789673702601,0.357934847000454
"99",107,9.39829759,56.09298382,129,"Midtjylland","Downwash sandy deposits",35.3,22,2.09996729488757,4.59469090652879,0.375114684692225
"100",108,9.415083839,56.08843609,149,"Midtjylland","Aeolian sand",33.78,22,1.24826857890753,4.57880702834666,0.512284063281854
"101",109,9.496242918,56.12617658,366,"Midtjylland","Freshwater deposits",21.42,21,1.63827441498539,4.57510572547621,0.915927211697116
"102",110,9.527718814,56.13413354,298,"Midtjylland","Glaciofluvial",43,20.41,2.41813798820642,4.57145788148495,0.799409479615127
"103",111,9.545471604,55.66713549,285,"Syddanmark","Glaciofluvial",43,21,-0.276141465261843,3.48815290109644,0.305351369446624
"104",112,9.62042271,56.16725102,199,"Midtjylland","Downwash sandy deposits",38.31,21,0.82690447602667,4.56981353018391,0.639087871083737
"105",113,9.63843338,56.07849827,300,"Midtjylland","Glaciofluvial",18,21.02,1.74958142777504,4.44975183376155,0.847449262499173
"106",114,9.689242409,55.61045139,179,"Syddanmark","Glaciofluvial",40.14,20.93,-0.467112092280852,3.66520675500767,0.437909035539498
"107",115,9.693193422,55.60660146,163,"Syddanmark","Glaciofluvial",39.4,20.16,0.311289572903633,3.57466429703477,0.306425027550687
"108",116,9.704436043,56.05325311,237,"Midtjylland","Freshwater deposits",18,20.4,1.29919813770224,4.37320030823325,0.371621927176021
"109",118,9.731842491,56.0637403,371,"Midtjylland","Freshwater deposits",28,21,1.89742668631445,4.38820659937205,0.491361693834273
"110",119,9.752402726,55.69123564,311,"Midtjylland","Clayey Till",26,21,-1.18697718322858,2.79080712982749,0.663323933628212
"111",120,9.800305811,56.82378091,374,"Nordjylland","Glaciofluvial",26,21.77,0.00560001463473542,4.26474391585042,0.827821427682802
"112",121,9.820183908,56.83296931,297,"Nordjylland","Freshwater deposits",21.51,21.74,1.12762318702528,4.26909292317585,0.810299741040169
"113",122,9.835868413,56.81534525,281,"Nordjylland","Glaciofluvial",18.85,20.8,3.05040480762649,4.24258729015673,0.683587317572767
"114",124,9.850999917,56.8138236,213,"Nordjylland","Glaciofluvial",22.29,20.03,1.97549400285182,4.22681591620479,0.568084331315394
"115",125,9.857507134,55.68390165,270,"Midtjylland","Clayey Till",26,20,0.997668850384919,2.19900053851989,0.73303668293358
"116",126,9.862110474,56.85378561,258,"Nordjylland","Chalk",26.3,20.76,1.66568745775272,4.2943493036402,0.894592947922956
"117",127,9.869621187,55.68895496,293,"Midtjylland","Clayey Till",26,20,2.53559803736208,2.77504145180871,0.657247129883716
"118",128,9.879929238,57.51774804,333,"Nordjylland","Aeolian sand",19.34,24.18,3.91243108541749,2.98626954287786,0.341236623238692
"119",129,9.922239627,56.89066793,251,"Nordjylland","Glaciofluvial",21.09,21,0.571893606263596,4.23473389586277,0.757092220118933
"120",130,9.926169346,57.51694352,118,"Nordjylland","Late-Glacial marine deposits",30,24.11,-1.48814710306225,3.42393429933833,0.378761175316373
