LC3,LC4,MAP,MAT,JJAMAP,DJFMAP,LONG,LAT,X,Y
-0.124938737,-1,199,12.4,0.12,0.45,119.55,46.4,-1687626.43,966783.2014
-0.124938737,-1,469,7.5,0.24,0.29,114.27,47.32,-1293849.417,989714.1973
-0.065501549,-0.958607315,536,7.2,0.24,0.2,110.78,45.78,-1077168.04,766998.2281
-0.070581074,-0.552841969,476,8.2,0.35,0.15,101.87,43.95,-442652.2629,480307.3117
-0.366531544,-0.420216403,484,4.8,0.4,0.14,102.82,46.9,-489126.0102,832698.8023
-0.886056648,-0.031517051,623,12,0.4,0.11,99.38,38.87,-276373.4449,-128281.3289
-1,-0.387216143,259,14.5,0.47,0.17,106.75,32.62,-960133.9315,-810735.3698
-0.920818754,-0.013228266,969,15.3,0.3,0.14,96.55,36.95,-46291.59853,-358922.7155
-0.823908741,-0.086186148,542,13.9,0.44,0.13,101.53,35.3,-476459.0608,-538624.3556
-0.823908741,-0.26760624,421,8.5,0.31,0.14,104.6,40.82,-681548.8366,127703.6028
-0.337242168,-0.292429824,446,5.1,0.41,0.15,102.5,47.75,-459343.8003,931107.9865
-1,-0.22184875,376,11.2,0.51,0.17,105.55,33.48,-843273.1294,-722603.2057
-0.508638306,-0.096910013,661,17.8,0.27,0.16,99.23,33.33,-286234.8832,-777716.7024
-0.214670165,-0.455931956,575,6.1,0.36,0.16,99.1,45.33,-228543.9935,633431.3372
-0.769551079,-0.055517328,885,12.9,0.37,0.12,96.6,39.1,-48898.93481,-105955.9143
-0.408935393,-0.096910013,556,8.6,0.38,0.12,101.8,41.55,-454722.3175,196886.7634
-0.823908741,-1,344,6.6,0.18,0.35,112.67,43.73,-1255952.438,551306.1936
-0.638272164,-1,415,6,0.22,0.33,112.15,44.25,-1206739.831,605098.6217
-1,-0.387216143,347,18.9,0.41,0.12,102.92,29.58,-644501.0501,-1193616.681
-0.124938737,-0.638272164,575,5.3,0.36,0.13,103.45,43.53,-565477.0658,439183.9766
-1,-0.065501549,477,13.9,0.5,0.22,110.5,31.6,-1310834.483,-883223.8544
-0.004364805,-1,370,3.5,0.45,0.19,107.72,50.7,-784000.9194,1310718.383
-0.744727495,-0.397940009,537,16.7,0.32,0.12,101.18,32.97,-461189.1291,-811911.2687
-0.244125144,-0.327902142,870,15.4,0.29,0.15,97.23,36.05,-104892.729,-463984.1168
-1,-1,356,7.3,0.18,0.31,113.08,41.87,-1325903.072,340542.5858
-1,-0.283996656,570,12.2,0.42,0.24,109.12,32,-1180517.237,-855443.1893
-0.508638306,-0.236572006,457,8.8,0.36,0.13,102.33,43.75,-478868.2116,458951.2647
-0.408935393,-1,327,9.5,0.16,0.31,113.25,38.17,-1417926.863,-86264.78635
-0.346787486,-0.387216143,176,13.8,0.25,0.28,111.87,37.1,-1326564.521,-230140.0683
-0.420216403,-0.301029996,345,6.4,0.46,0.14,104.47,45.03,-626884.9291,622268.767
-0.259637311,-1,405,5.9,0.4,0.12,116.75,39.82,-1659197.31,161084.0202
-0.387216143,-1,375,5.7,0.16,0.29,107.17,41.42,-876057.8582,219289.3146
-0.920818754,-0.677780705,231,12.1,0.29,0.21,111.3,38.52,-1252503.201,-73135.2709
-0.229147988,-1,723,11.2,0.14,0.34,111.95,40.17,-1272653.43,127371.2562
-0.337242168,-1,365,6.9,0.15,0.31,114.9,39.16,-1528742.452,53859.07511
-0.958607315,0.021189299,373,11.5,0.35,0.18,104.5,38.55,-697612.8413,-139600.2761
-1,-0.15490196,733,9.4,0.23,0.37,112.35,35.27,-1403123.45,-434737.0552
-1,-0.026872146,351,11.7,0.45,0.18,105.08,34.28,-792976.1617,-633777.2003
-0.13667714,-1,244,7.2,0.2,0.29,110.38,40.47,-1143049.046,142316.3001
-0.886056648,-1,244,7.2,0.2,0.29,109.65,40.45,-1085773.33,131400.1152
-0.769551079,-1,207,7.2,0.22,0.28,109.75,39.88,-1103392.022,66006.39772
-0.657577319,-1,646,10,0.11,0.36,111.87,39.92,-1271244.216,97220.48304
-0.337242168,-1,593,11,0.13,0.35,111.75,40.12,-1257819.001,118885.2331
-0.13667714,-0.602059991,409,7.5,0.3,0.2,106.48,45.82,-764804.2846,729900.0476
-0.017728767,-0.886056648,409,7.5,0.3,0.2,106.48,45.87,-764152.7117,735769.9374
-0.244125144,-0.657577319,409,7.5,0.3,0.2,106.47,45.88,-763296.3389,736863.3349
-0.167491087,-0.823908741,409,7.5,0.3,0.2,106.37,45.85,-756422.1151,732539.6528
-0.107905397,-0.920818754,495,7.9,0.32,0.17,106,45.48,-734137.316,686173.6473
-0.091514981,-0.677780705,717,7.5,0.34,0.15,97,43.5,-76017.14433,413807.6626
-0.795880017,-0.065501549,935,20.7,0.23,0.22,96.83,30.58,-76360.22397,-1101416.745
-0.853871964,-0.017728767,976,21.2,0.29,0.18,97,29,-93921.21029,-1283412.061
-0.619788758,-0.091514981,1011,17.7,0.23,0.19,96,33.75,0,-733635.9925
-0.795880017,-0.045757491,823,19.5,0.2,0.21,97.17,31.33,-106567.8398,-1014304.296
-0.356547324,-1,207,7.2,0.22,0.28,109.83,39.66,-1113537.929,41270.87903
-0.387216143,-1,321,6.5,0.19,0.35,110.25,40.08,-1139685.132,95256.83649
-0.508638306,-1,418,5.9,0.2,0.38,110.83,40.5,-1177979.605,151323.7939
-0.102372909,-1,418,5.9,0.2,0.38,110.75,40.58,-1170213.347,159660.2924
-0.236572006,-1,270,6.9,0.21,0.27,110,40.5,-1112545.252,141296.5087
-0.920818754,-1,327,9.5,0.16,0.31,113.25,38.5,-1412217.88,-59789.36826
-0.744727495,-0.420216403,327,9.5,0.16,0.31,113.25,38.5,-1410897.501,-48061.68568
-0.677780705,-0.13667714,841,20.1,0.23,0.22,98.33,30.25,-215278.6922,-1137228.262
-0.677780705,-1,332,7.8,0.12,0.4,115.75,40.33,-1567982.183,202860.9649
-0.48148606,-0.568636236,421,3.9,0.29,0.18,105.28,41.12,-731810.9885,168036.1488
-0.552841969,-0.119186408,527,7.4,0.28,0.16,104.82,41.25,-694217.1146,179857.9763
-0.823908741,-0.107905397,430,9.5,0.27,0.16,105.12,42.07,-708454.0065,278507.4961
-0.537602002,-0.468521083,512,2,0.42,0.12,97.5,49.87,-102133.88,1165633.046
-0.236572006,-0.301029996,611,4.2,0.39,0.16,96.62,47.75,-43848.36898,915497.4453
-0.920818754,-0.823908741,169,17.1,0.28,0.32,116.08,36.83,-1680426.562,-194508.3916
-1,-0.853871964,180,15.1,0.1,0.49,117.83,36,-1846612.985,-256965.1194
-1,-1,117,18.1,0.21,0.39,116.25,36.67,-1698419.114,-209839.1461
-0.769551079,-0.045757491,789,12.9,0.34,0.13,97.62,38.75,-132726.1695,-146209.5769
-0.387216143,-0.30980392,892,6.6,0.35,0.15,93.2,45.4,206189.3581,641010.2131
-0.086186148,-0.958607315,352,2,0.46,0.14,106.63,52.13,-692694.8453,1468303.929